Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10-Oct-25  09:24:52 RP,T026: seenut,st  :,,Demand,ed : Page,1,,
seenutst,,,,,,,,
Category: All Act,ivity,,,,,,,
Event location: O,n-Line,,,,,,,
Asset: *,,,,,,,,
Source: *,,,,,,,,
Description:,,,,,,,,
Operator:,,,,,,,,
Period: 09-Oct-25,08:24:52,to  10-Oct-25  09:,24:52,,,,,
Event file  1: 19,-Sep-25  06:,20:07  to  10-Oct-,25  09:,24:51,,,,
Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10/9/2025 8:37:13.795,260MHS4425,ChOfSt,,J 00,PU401B S OIL,HTR HE02          RUNNIN,G,
10/9/2025 8:37:15.266,480MHS4455,ChOfSt,,J 00,480PU404 Lub,Oil SKID HTR       RUNNIN,G,
10/9/2025 8:37:40.172,270TT4741,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10-Oct-25  09:24:52 RP,T026: seenut,st  :,,Demand,ed : Page,2,,
Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10/9/2025 8:37:56.601,CONSOLE ST,ATION~ DISPLAY C~,,,270l2001.htm,0.734,sec,Froth Ope~
10/9/2025 8:38:04.113,270MHS4112,ChOfSt,,J 00,PU402B WW PM,P ST/SP            STOPPE,D,
10/9/2025 8:38:09.401,CONSOLE ST,ATION~ DISPLAY C~,,,270l3007.htm,0.5,sec,Froth Ope~
10/9/2025 8:38:20.172,270TT4741,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:38:33.742,260MHS4439,ChOfSt,,J 00,PU-404 S OIL,HTR HE01          RUNNIN,G,
10/9/2025 8:38:46.510,250MHS4424,ChOfSt,,J 00,PU-406B S/OI,L HTR HE-01        RUNNIN,G,
10/9/2025 8:39:06.320,560MHS4425,ChOfSt,,J 00,PU401B SEAL,OIL HEATER         STOPPE,D,
10/9/2025 8:39:25.868,250MHS4487,ChOfSt,,J 00,PU-420A L/OI,L HTR HE-01        RUNNIN,G,
10/9/2025 8:40:01.013,270MHS4407,ChOfSt,,J 00,PU401B SEAL,OIL CLR AX01       RUNNIN,G,
10/9/2025 8:40:15.911,250MHS4439,ChOfSt,,J 00,PU-408B S/OI,L CLR AX-02        RUNNIN,G,
10/9/2025 8:40:18.650,250MHS4474,ChOfSt,,J 00,PU-402B L/OI,L CLR AX-01        RUNNIN,G,
10/9/2025 8:40:55.400,250MHS4412,ChOfSt,,J 00,PU-405A S/OI,L HTR HE-02        STOPPE,D,
10/9/2025 8:41:09.353,250FIT4005,HART Comm~,,J 00,,ON,,
10/9/2025 8:41:10.901,CONSOLE ST,ATION~ DISPLAY C~,,,270l3005.htm,0.734,sec,Froth Ope~
10/9/2025 8:41:18.301,270LX4052,CHANGE,,NONE,automana.op,56,%,Froth Ope~
10/9/2025 8:41:41.352,250FIT4005,HART Comm~,OK,J 00,,OFF,,
