unnamed: 0,time,location,source,condition,action,priority,description,value,operator,server,field time,source_sheet
,2025-10-14 14:34:03.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,34,Froth Operator,FTESV01,2025-10-14 14:34:03.501,Sheet2
,2025-10-14 14:35:49.100,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,33.5,Froth Operator,FTESV01,2025-10-14 14:35:49.100,Sheet2
,2025-10-14 14:35:49.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,33,Froth Operator,FTESV01,2025-10-14 14:35:49.701,Sheet2
,2025-10-14 14:36:22.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,33.5,Froth Operator,FTESV01,2025-10-14 14:36:22.701,Sheet2
,2025-10-14 14:36:23.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,34,Froth Operator,FTESV01,2025-10-14 14:36:23.301,Sheet2
,2025-10-14 14:36:41.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,34.5,Froth Operator,FTESV01,2025-10-14 14:36:41.301,Sheet2
,2025-10-14 14:36:41.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,35,Froth Operator,FTESV01,2025-10-14 14:36:41.701,Sheet2
,2025-10-14 14:37:59.001,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,35.5,Froth Operator,FTESV01,2025-10-14 14:37:59.001,Sheet2
,2025-10-14 14:37:59.601,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,36,Froth Operator,FTESV01,2025-10-14 14:37:59.601,Sheet2
,2025-10-14 14:38:29.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,36.5,Froth Operator,FTESV01,2025-10-14 14:38:29.301,Sheet2
,2025-10-14 14:38:29.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,37,Froth Operator,FTESV01,2025-10-14 14:38:29.801,Sheet2
