unnamed: 0,time,location,source,condition,action,priority,description,value,operator,server,field time,source_sheet
,2025-10-15 10:51:39.901,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-15 10:51:39.901,Sheet2
,2025-10-15 10:51:40.601,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-15 10:51:40.601,Sheet2
,2025-10-15 10:51:42.301,TSRU_2_STG_Tail,270FIC4162,CHANGE,,,PIDA.OP,0,Froth Operator,FTESV01,2025-10-15 10:51:42.301,Sheet2
,2025-10-15 10:52:03.101,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,16,Froth Operator,FTESV01,2025-10-15 10:52:03.101,Sheet2
,2025-10-15 10:52:03.701,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,14,Froth Operator,FTESV01,2025-10-15 10:52:03.701,Sheet2
,2025-10-15 10:52:05.401,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,12,Froth Operator,FTESV01,2025-10-15 10:52:05.401,Sheet2
,2025-10-15 10:52:08.101,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,10,Froth Operator,FTESV01,2025-10-15 10:52:08.101,Sheet2
,2025-10-15 10:52:10.201,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,8,Froth Operator,FTESV01,2025-10-15 10:52:10.201,Sheet2
,2025-10-15 10:52:10.801,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,6,Froth Operator,FTESV01,2025-10-15 10:52:10.801,Sheet2
,2025-10-15 10:52:13.001,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,4,Froth Operator,FTESV01,2025-10-15 10:52:13.001,Sheet2
,2025-10-15 10:52:14.101,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,2,Froth Operator,FTESV01,2025-10-15 10:52:14.101,Sheet2
,2025-10-15 10:52:15.201,TSRU_1_STG_Tail,270FIC4161,CHANGE,,,pida.op,0,Froth Operator,FTESV01,2025-10-15 10:52:15.201,Sheet2
,2025-10-15 11:13:58.600,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,28,Froth Operator,FTESV01,2025-10-15 11:13:58.600,Sheet2
,2025-10-15 11:13:59.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,26,Froth Operator,FTESV01,2025-10-15 11:13:59.301,Sheet2
,2025-10-15 11:14:01.001,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,24,Froth Operator,FTESV01,2025-10-15 11:14:01.001,Sheet2
,2025-10-15 11:14:02.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,22,Froth Operator,FTESV01,2025-10-15 11:14:02.301,Sheet2
,2025-10-15 11:14:13.400,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,20,Froth Operator,FTESV01,2025-10-15 11:14:13.400,Sheet2
,2025-10-15 11:14:14.200,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,18,Froth Operator,FTESV01,2025-10-15 11:14:14.200,Sheet2
,2025-10-15 11:14:14.800,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,16,Froth Operator,FTESV01,2025-10-15 11:14:14.800,Sheet2
,2025-10-15 11:14:15.400,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,14,Froth Operator,FTESV01,2025-10-15 11:14:15.400,Sheet2
,2025-10-15 11:14:20.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,12,Froth Operator,FTESV01,2025-10-15 11:14:20.401,Sheet2
,2025-10-15 11:14:21.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,10,Froth Operator,FTESV01,2025-10-15 11:14:21.201,Sheet2
,2025-10-15 11:14:21.801,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,8,Froth Operator,FTESV01,2025-10-15 11:14:21.801,Sheet2
,2025-10-15 11:14:24.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,6,Froth Operator,FTESV01,2025-10-15 11:14:24.401,Sheet2
,2025-10-15 11:14:25.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-15 11:14:25.301,Sheet2
,2025-10-15 11:14:26.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-15 11:14:26.401,Sheet2
,2025-10-15 11:14:27.901,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,0,Froth Operator,FTESV01,2025-10-15 11:14:27.901,Sheet2
,2025-10-15 12:22:22.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,2,Froth Operator,FTESV01,2025-10-15 12:22:22.501,Sheet2
,2025-10-15 12:22:23.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,4,Froth Operator,FTESV01,2025-10-15 12:22:23.301,Sheet2
,2025-10-15 12:22:24.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,6,Froth Operator,FTESV01,2025-10-15 12:22:24.701,Sheet2
